Name,Rank,Year,Company Founded,Company Name,Company Relationship,Company Sector,Company Type,Demographics Age,Demographics Gender,Location Citizenship,Location Country Code,Location GDP,Location Region,Wealth Type,Wealth Worth In Billions,Wealth How Category,Wealth How From Emerging,Wealth How Industry,Wealth How Inherited,Wealth How Was Founder,Wealth How Was Political,Company Nmae
Bill Gates,1,1996,1975,Microsoft,founder, Software,new,40,male,United States,USA,8100000000000.0,North America,founder non-finance,18.5,New Sectors,True,Technology-Computer,not inherited,True,True,Microsoft
Bill Gates,1,2001,1975,Microsoft,founder, Software,new,45,male,United States,USA,10600000000000.0,North America,founder non-finance,58.7,New Sectors,True,Technology-Computer,not inherited,True,True,Microsoft
Bill Gates,1,2014,1975,Microsoft,founder, Software,new,58,male,United States,USA,0.0,North America,founder non-finance,76.0,New Sectors,True,Technology-Computer,not inherited,True,True,Microsoft
Warren Buffett,2,1996,1962,Berkshire Hathaway,founder, Finance,new,65,male,United States,USA,8100000000000.0,North America,founder non-finance,15.0,Traded Sectors,True,Consumer,not inherited,True,True,Berkshire Hathaway
Warren Buffett,2,2001,1962,Berkshire Hathaway,founder, Finance,new,70,male,United States,USA,10600000000000.0,North America,founder non-finance,32.3,Traded Sectors,True,Consumer,not inherited,True,True,Berkshire Hathaway
Carlos Slim Helu,2,2014,1990,Telmex,founder, Communications,privatization,74,male,Mexico,MEX,0.0,Latin America,privatized and resources,72.0,Non-Traded Sectors,True,Media,not inherited,True,True,Telmex
Oeri Hoffman and Sacher,3,1996,1896,F. Hoffmann-La Roche,founder,pharmaceuticals,new,0,male,Switzerland,CHE,330000000000.0,Europe,inherited,13.1,New Sectors,True,Technology-Medical,3rd generation,True,True,F. Hoffmann-La Roche
Paul Allen,3,2001,1975,Microsoft,founder,technology,new,48,male,United States,USA,10600000000000.0,North America,founder non-finance,30.4,New Sectors,True,Technology-Computer,not inherited,True,True,Microsoft
Amancio Ortega,3,2014,1975,Zara,founder,Fashion,new,77,male,Spain,ESP,0.0,Europe,founder non-finance,64.0,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,Zara
Lee Shau Kee,4,1996,1976,Henderson Land Development,founder/chairman,real estate,new,68,male,Hong Kong,HKG,160000000000.0,East Asia,self-made finance,12.7,Financial,True,Real Estate,not inherited,True,True,Henderson Land Development
Larry Ellison,4,2001,1977,Oracle,founder, software, new,56,male,United States,USA,10600000000000.0,North America,founder non-finance,26.0,New Sectors,True,Technology-Computer,not inherited,True,True,Oracle
Warren Buffett,4,2014,1839,Berkshire Hathaway,founder, Finance,aquired,83,male,United States,USA,0.0,North America,founder non-finance,58.2,Traded Sectors,True,Consumer,not inherited,True,True,Berkshire Hathaway
Tsai Wan-lin,5,1996,1962,Lin Yuan Group,founder,banking and insurance,new,71,male,Taiwan,Taiwan,0.0,East Asia,self-made finance,12.2,Financial,True,Hedge funds,not inherited,True,True,Lin Yuan Group
Theo and Karl Albrecht,5,2001,1913,Aldi,founder,groceries,new,0,male,Germany,DEU,1950000000000.0,Europe,founder non-finance,25.0,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,Aldi
Larry Ellison,5,2014,1977,Oracle,founder, software, new,69,male,United States,USA,0.0,North America,founder non-finance,48.0,New Sectors,True,Technology-Computer,not inherited,True,True,Oracle
Walter Thomas and Raymond Kwok,6,1996,1963,Sun Hung Kai Properties,Relation,real estate,new,0,male,Hong Kong,HKG,160000000000.0,East Asia,inherited,11.2,Financial,True,Real Estate,father,True,True,Sun Hung Kai Properties
Prince Alwaleed Bin Talal Alsaud,6,2001,1980,Kingdom Holding Company,founder,construction/real estate/banking,new,44,male,Saudi Arabia,SAU,183000000000.0,Middle East/North Africa,privatized and resources,20.0,Financial,True,Money Management,not inherited,True,True,Kingdom Holding Company
Charles Koch,6,2014,1940,Koch industries,relation,  Oil refining,new,78,male,United States,USA,0.0,North America,inherited,40.0,Financial,True,Diversified financial,father,True,True,Koch industries
David Koch,6,2014,1940,Koch industries,relation, Oil refining,new,73,male,United States,USA,0.0,North America,inherited,40.0,Financial,True,Diversified financial,father,True,True,Koch industries
Li Ka-shing,7,1996,1971,Cheung king,founder,real estate,new,67,male,Hong Kong,HKG,160000000000.0,East Asia,self-made finance,10.6,Financial,True,Real Estate,not inherited,True,True,Cheung king
Jim Walton,7,2001,1962,Walmart,relation,retail, new,53,male,United States,USA,10600000000000.0,North America,inherited,18.8,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,Walmart
Yoshiaki Tsutsumi,8,1996,1894,Seibu Corporation,relation,real estate,aquired,61,male,Japan,JPN,4710000000000.0,East Asia,inherited,9.2,Financial,True,Real Estate,father,True,True,Seibu Corporation
John Walton,8,2001,1962,Walmart,relation, retail, new,55,male,United States,USA,10600000000000.0,North America,inherited,18.7,Traded Sectors,True,Consumer,father,True,True,Walmart
Sheldon Adelson,8,2014,1952,Las Vegas Sands,founder, casinos, acquired,80,male,United States,USA,0.0,North America,self-made finance,38.0,Financial,True,Real Estate,not inherited,True,True,Las Vegas Sands
Theo and Karl Albrecht,9,1996,1913,Aldi Nord,Relation,groceries,new,0,male,Germany,DEU,2500000000000.0,Europe,inherited,9.0,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,Aldi Nord
S Robson Walton,9,2001,1962,Walmart,relation,retail, new,57,male,United States,USA,10600000000000.0,North America,inherited,18.6,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,Walmart
Christy Walton,9,2014,1962,Walmart,relation, retail, new,59,female,United States,USA,0.0,North America,inherited,36.7,Non-Traded Sectors,True,"Retail, Restaurant",spouse/widow,True,True,Walmart
Hans and Gad Rausing,10,1996,1951,Tetra Pak,relation,food packaging,new,0,male,Sweden,SWE,288000000000.0,Europe,inherited,9.0,Traded Sectors,True,Consumer,father,True,True,Tetra Pak
Alice Walton,10,2001,1962,Walmart,relation,retail, new,52,female,United States,USA,10600000000000.0,North America,inherited,18.5,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,Walmart
Helen Walton,10,2001,1962,Walmart,relation,retail, new,81,female,United States,USA,10600000000000.0,North America,inherited,18.5,Traded Sectors,True,Consumer,spouse/widow,True,True,Walmart
Jim Walton,10,2014,1962,Walmart,relation,retail, new,66,male,United States,USA,0.0,North America,inherited,34.7,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,Walmart
Johanna Quandt,11,1996,1916,BMW,relation,cars,new,68,female,Germany,DEU,2500000000000.0,Europe,inherited,8.1,Traded Sectors,True,Consumer,spouse/widow,True,True,BMW
Liliane Bettencourt,11,2014,1909,L'Oreal,relation,cosmetics,new,91,female,France,FRA,0.0,Europe,inherited,34.5,Traded Sectors,True,Consumer,father,True,True,L'Oreal
Haniel family,12,1996,1756,Franz Haniel & Cie,founder,real estate,new,0,male,Germany,DEU,2500000000000.0,Europe,inherited,8.1,Financial,True,Diversified financial,not inherited,True,True,Franz Haniel & Cie
Johanna Quandt,12,2001,1916,BMW,relation,cars,new,73,female,Germany,DEU,1950000000000.0,Europe,inherited,17.8,Traded Sectors,True,Consumer,spouse/widow,True,True,BMW
Stefan Persson,12,2014,1947, H&M,relation, fashion, new,66,male,Sweden,SWE,0.0,Europe,inherited,34.4,Traded Sectors,True,Consumer,father,True,True, H&M
Paul Allen,13,1996,1975,Microsoft,founder,technology,new,43,male,United States,USA,8100000000000.0,North America,founder non-finance,7.5,New Sectors,True,Technology-Computer,not inherited,True,True,Microsoft
Steven Ballmer,13,2001,1975,Microsoft,CEO,technology,new,44,male,United States,USA,10600000000000.0,North America,executive,16.6,New Sectors,True,Technology-Computer,not inherited,True,True,Microsoft
Alice Walton,13,2014,1962,Walmart,relation,retail, new,64,female,United States,USA,0.0,North America,inherited,34.3,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,Walmart
Kenneth Thomson,14,1996,1934,Thomson Corporation (now Thomson Reuters),relation,media,acquired,72,male,Canada,CAN,627000000000.0,North America,inherited,7.4,Non-Traded Sectors,True,Media,father,True,True,Thomson Corporation (now Thomson Reuters)
Kenneth Thomson,14,2001,1934,Thomson Corporation (now Thomson Reuters),relation,media,acquired,77,male,Canada,CAN,733000000000.0,North America,inherited,16.4,Non-Traded Sectors,True,Media,father,True,True,Thomson Corporation (now Thomson Reuters)
S. Robson Walton,14,2014,1962,Walmart,relation,retail, new,70,male,United States,USA,0.0,North America,inherited,34.2,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,Walmart
John Kluge,15,1996,1956,Metropolitan Broadcasting Corporation,chairman,media,new,81,male,United States,USA,8100000000000.0,North America,executive,7.2,Non-Traded Sectors,True,Media,not inherited,True,True,Metropolitan Broadcasting Corporation
Liliane Bettencourt,15,2001,1909,L'Oreal,relation,cosmetics,new,78,female,France,FRA,1380000000000.0,Europe,inherited,15.6,Traded Sectors,True,Consumer,father,True,True,L'Oreal
Bernard Arnault,15,2014,1987,LVMH,founder,luxury goods,acquired,64,male,France,FRA,0.0,Europe,founder non-finance,33.5,Traded Sectors,True,Consumer,not inherited,True,True,LVMH
Tan Yu,16,1996,1972,Asiaworld Internationale Group,founder,real estate,new,0,male,Philippines,PHL,82848194406.0,East Asia,self-made finance,7.0,Financial,True,Real Estate,not inherited,True,True,Asiaworld Internationale Group
Philip Anschutz,16,2001,1961,Circle A Drilling,investor,"oil, railroad, investments",aquired,61,male,United States,USA,10600000000000.0,North America,self-made finance,15.3,Financial,True,Money Management,not inherited,True,True,Circle A Drilling
Michael Bloomberg,16,2014,1981,Bloomberg,founder, finance, new,72,male,United States,USA,0.0,North America,founder non-finance,33.0,Non-Traded Sectors,True,Media,not inherited,True,True,Bloomberg
Wonowidjojo family,17,1996,1958,Gudang Garam,founder,cigarettes,new,0,male,Indonesia,IDN,227000000000.0,East Asia,inherited,6.7,Traded Sectors,True,Consumer,not inherited,True,True,Gudang Garam
Ingvar Kamprad,17,2001,1943,IKEA,founder,furniture,new,74,male,Sweden,SWE,240000000000.0,Europe,founder non-finance,13.0,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,IKEA
Larry Page,17,2014,1998,Google,founder, technology, new,40,male,United States,USA,0.0,North America,founder non-finance,32.3,New Sectors,True,Technology-Computer,not inherited,True,True,Google
Carlos Slim Helu,18,1996,1990,Telmex,founder, Communications,privatization,56,male,Mexico,MEX,397000000000.0,Latin America,privatized and resources,6.1,Non-Traded Sectors,True,Media,not inherited,True,True,Telmex
Li Ka-shing,18,2001,1971,Cheung king,founder,real estate,new,72,male,Hong Kong,HKG,169000000000.0,East Asia,self-made finance,12.6,Financial,True,Real Estate,not inherited,True,True,Cheung king
Sumner Redstone,18,2001,1936,National Amusements,relation,media,new,77,male,United States,USA,10600000000000.0,North America,inherited,12.6,Non-Traded Sectors,True,Media,father,True,True,National Amusements
Jeff Bezos,18,2014,1995,Amazon,founder, technology, new,50,male,United States,USA,0.0,North America,founder non-finance,32.0,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,Amazon
Larry Ellison,19,1996,1977,Oracle,founder, software, new,51,male,United States,USA,8100000000000.0,North America,founder non-finance,6.0,New Sectors,True,Technology-Computer,not inherited,True,True,Oracle
Sergey Brin,19,2014,1998,Google,founder, technology, new,40,male,United States,USA,0.0,North America,founder non-finance,31.8,New Sectors,True,Technology-Computer,not inherited,True,True,Google
Chung Ju-yung,20,1996,1946,Hyundai Group,founder,cars,new,0,male,South Korea,KOR,603000000000.0,East Asia,self-made finance,5.9,Financial,True,Diversified financial,not inherited,True,True,Hyundai Group
Leo Kirch,20,2001,1956,Kirch Group,founder,media,new,0,male,Germany,DEU,1950000000000.0,Europe,founder non-finance,12.0,Non-Traded Sectors,True,Media,not inherited,True,True,Kirch Group
Li Ka-shing,20,2014,1950,Cheung Kong,founder,real estate,new,85,male,Hong Kong,HKG,0.0,East Asia,self-made finance,31.0,Financial,True,Diversified financial,not inherited,True,True,Cheung Kong
Gerard Mulliez,21,1996,1961,Auchan,founder,retail,new,0,male,France,FRA,1610000000000.0,Europe,founder non-finance,5.7,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,Auchan
Anne Cox Chambers,21,2001,1898,Cox Enterprises,relation,media,aquired,81,female,United States,USA,10600000000000.0,North America,inherited,11.7,Non-Traded Sectors,True,Media,father,True,True,Cox Enterprises
Barbara Cox Anthony,21,2001,1898,Cox Enterprises,relation,media,aquired,77,female,United States,USA,10600000000000.0,North America,inherited,11.7,Non-Traded Sectors,True,Media,father,True,True,Cox Enterprises
Mark Zuckerberg,21,2014,2004, Facebook,founder, technology, new,29,male,United States,USA,0.0,North America,founder non-finance,28.5,New Sectors,True,Technology-Computer,not inherited,True,True, Facebook
Robert Kuok,22,1996,1980,Tana Exploration Company,relation,oil,new,73,male,Malaysia,MYS,101000000000.0,East Asia,self-made finance,5.7,Financial,True,Money Management,not inherited,True,True,Tana Exploration Company
Michele Ferrero,22,2014,1946,Ferrero spa,relation,chocolates,new,88,male,Italy,ITA,0.0,Europe,executive,26.5,Traded Sectors,True,Consumer,not inherited,True,True,Ferrero spa
Kwek Leng Beng,23,1996,1948,Hong Leong Group,relation,banking,new,55,male,Singapore,SGP,96400967339.0,East Asia,inherited,5.7,Financial,True,Diversified financial,father,True,True,Hong Leong Group
Walter Thomas and Raymond Kwok,23,2001,1963,Sun Hung Kai Properties,Relation,real estate,new,0,male,Hong Kong,HKG,169000000000.0,East Asia,inherited,11.5,Financial,True,Real Estate,father,True,True,Sun Hung Kai Properties
Aliko Dangote,23,2014,1981,Dangote Group,founder and CEO,"commodities (sugar, cement flour)",new,56,male,Nigeria,NGA,0.0,Sub-Saharan Africa,founder non-finance,25.0,Non-Traded Sectors,True,Constrution,not inherited,True,True,Dangote Group
Karl Albrecht,23,2014,1914,Aldi Sud,relation,groceries,new,94,male,Germany,DEU,0.0,Europe,executive,25.0,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,Aldi Sud
Cheng Yu-tung,24,1996,1929,Chow Tai Fook Enterprises,relation,real estate,new,70,male,Hong Kong,HKG,160000000000.0,East Asia,inherited,5.5,Financial,True,Real Estate,father,True,True,Chow Tai Fook Enterprises
John Kluge,24,2001,1956,Metropolitan Broadcasting Corporation,chairman,media,new,86,male,United States,USA,10600000000000.0,North America,executive,10.9,Non-Traded Sectors,True,Media,not inherited,True,True,Metropolitan Broadcasting Corporation
Walter Haefner,25,1996,1957,Automation Center,founder,computer services,new,85,male,Switzerland,CHE,330000000000.0,Europe,founder non-finance,5.5,New Sectors,True,Technology-Computer,not inherited,True,True,Automation Center
Carlos Slim Helu,25,2001,1990,Telmex,founder, Communications,privatization,61,male,Mexico,MEX,725000000000.0,Latin America,privatized and resources,10.8,Non-Traded Sectors,True,Media,not inherited,True,True,Telmex
Carl Icahn,25,2014,1968,Icahn Enterprises,founder,investment (via holding company),new,78,male,United States,USA,0.0,North America,self-made finance,24.5,Financial,True,Diversified financial,not inherited,True,True,Icahn Enterprises
Philip Knight,26,1996,1964,Nike,founder,apparel,new,58,male,United States,USA,8100000000000.0,North America,founder non-finance,5.3,Traded Sectors,True,Consumer,not inherited,True,True,Nike
Bernard Arnault,26,2001,1981,LVMH,founder,luxury goods,acquired,52,male,France,FRA,1380000000000.0,Europe,founder non-finance,10.7,Traded Sectors,True,Consumer,not inherited,True,True,LVMH
George Soros,26,2014,1969,Soros Fund Management,founder,hedge funds,new,83,male,United States,USA,0.0,North America,self-made finance,23.0,Financial,True,Hedge funds,not inherited,True,True,Soros Fund Management
Michael Otto,27,1996,1950,Otto Group,relation,mail order retail,new,52,male,Germany,DEU,2500000000000.0,Europe,inherited,5.2,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,Otto Group
Ernesto Bertarelli,27,2001,1906,Serono,relation,pharmaceuticals,new,35,male,Switzerland,CHE,279000000000.0,Europe,inherited,10.5,New Sectors,True,Technology-Medical,3rd generation,True,True,Serono
Michael Dell,27,2001,1984,Dell,founder,technology,new,36,male,United States,USA,10600000000000.0,North America,founder non-finance,10.5,New Sectors,True,Technology-Computer,not inherited,True,True,Dell
David Thomson,27,2014,1934,Thomson Corporation (now Thomson Reuters),relation,media,acquired,56,male,Canada,CAN,0.0,North America,inherited,22.6,Non-Traded Sectors,True,Media,father,True,True,Thomson Corporation (now Thomson Reuters)
Fong Teng,28,1996,1970,Sino Group,relation,real estate,new,0,male,Hong Kong,HKG,160000000000.0,East Asia,inherited,5.2,Traded Sectors,True,Consumer,father,True,True,Sino Group
Lui Che Woo,28,2014,1955,K. Wah Group,founder/chairman,"construction, hotels, gaming",new,84,male,Hong Kong,HKG,0.0,East Asia,self-made finance,22.0,Financial,True,Real Estate,not inherited,True,True,K. Wah Group
Robert and Ten Fong Ng,29,1996,1970,Sino Group,relation,real estate,new,0,male,Hong Kong,HKG,160000000000.0,East Asia,inherited,5.2,Financial,True,Real Estate,father,True,True,Sino Group
Silvio Berlusconi,29,2001,1978,Fininvest,founder,media,new,64,male,Italy,ITA,1160000000000.0,Europe,privatized and resources,10.3,Non-Traded Sectors,True,Media,not inherited,True,True,Fininvest
Dieter Schwarz,29,2014,1930,Schwarz Group,relation,groceries,new,74,male,Germany,DEU,0.0,Europe,inherited,21.1,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,Schwarz Group
Yasuo Takei,30,1996,0,Takefuji,founder,finance,new,66,male,Japan,JPN,4710000000000.0,East Asia,self-made finance,5.2,Financial,True,Money Management,not inherited,True,True,Takefuji
Abigail Johnson,30,2001,1946,Fidelity Investments,relation,investment banking,new,39,female,United States,USA,10600000000000.0,North America,inherited,9.1,Financial,True,Money Management,3rd generation,True,True,Fidelity Investments
Prince Alwaleed Bin Talal Alsaud,30,2014,1980,Kingdom Holding Company,founder,construction/real estate/banking,new,58,male,Saudi Arabia,SAU,0.0,Middle East/North Africa,privatized and resources,20.4,Financial,True,Diversified financial,not inherited,True,True,Kingdom Holding Company
Antonio Ermirio de Moraes,31,1996,1919,Votorantim Group,relation,"metals, paper, cement",new,0,male,Brazil,BRA,854000000000.0,Latin America,inherited,5.1,Traded Sectors,True,Non-consumer industrial,father,True,True,Votorantim Group
Forrest Mars Jr,31,2001,1911,"Mars, Incorperated",relation,candy,new,69,male,United States,USA,10600000000000.0,North America,inherited,9.0,Traded Sectors,True,Consumer,3rd generation,True,True,"Mars, Incorperated"
Jacqueline Mars,31,2001,1911,"Mars, Incorperated",relation,candy,new,0,female,United States,USA,10600000000000.0,North America,inherited,9.0,Traded Sectors,True,Consumer,3rd generation,True,True,"Mars, Incorperated"
John Mars,31,2001,1911,"Mars, Incorperated",relation,candy,new,64,male,United States,USA,10600000000000.0,North America,inherited,9.0,Traded Sectors,True,Consumer,3rd generation,True,True,"Mars, Incorperated"
Kirsten Rausing,31,2001,1951,Tetra Pak,relation,food packaging,new,0,female,Sweden,SWE,240000000000.0,Europe,inherited,9.0,Traded Sectors,True,Consumer,3rd generation,True,True,Tetra Pak
"Forrest Mars, Jr.",31,2014,1911,"Mars, Incorperated",relation,candy,new,82,male,United States,USA,0.0,North America,inherited,20.0,Traded Sectors,True,Consumer,3rd generation,True,True,"Mars, Incorperated"
Jacqueline Mars,31,2014,1911,"Mars, Incorperated",relation,candy,new,74,female,United States,USA,0.0,North America,inherited,20.0,Traded Sectors,True,Consumer,3rd generation,True,True,"Mars, Incorperated"
John Mars,31,2014,1911,"Mars, Incorperated",relation,candy,new,77,male,United States,USA,0.0,North America,inherited,20.0,Traded Sectors,True,Consumer,3rd generation,True,True,"Mars, Incorperated"
Eka Tjipta Widjaja,32,1996,1962,Sinar Mas Group,founder,banking,new,0,male,Indonesia,IDN,227000000000.0,East Asia,self-made finance,5.1,Financial,True,Diversified financial,not inherited,True,True,Sinar Mas Group
Liliane Bettencourt,33,1996,1909,L'Oreal,relation,cosmetics,new,73,female,France,FRA,1610000000000.0,Europe,inherited,5.0,Traded Sectors,True,Consumer,father,True,True,L'Oreal
Merck family,34,1996,1668,Merck,founder,pharmaceuticals,aquired,0,male,Germany,DEU,2500000000000.0,Europe,inherited,5.0,New Sectors,True,Technology-Medical,not inherited,True,True,Merck
Jorge Paulo Lemann,34,2014,1999,Ambev,founder,investment banking/beer,aquired,74,male,Brazil,BRA,0.0,Latin America,founder non-finance,19.7,Traded Sectors,True,Consumer,not inherited,True,True,Ambev
Silvio Berlusconi,35,1996,1978,Fininvest,founder,media,new,59,male,Italy,ITA,1310000000000.0,Europe,privatized and resources,5.0,Non-Traded Sectors,True,Media,not inherited,True,True,Fininvest
Charles Ergen,35,2001,1980,dish networtk,founder,media,new,48,male,United States,USA,10600000000000.0,North America,founder non-finance,8.8,Non-Traded Sectors,True,Media,not inherited,True,True,dish networtk
Ted Turner,35,2001,1970,CNN,founder,media,aquired,62,male,United States,USA,10600000000000.0,North America,founder non-finance,8.8,Non-Traded Sectors,True,Media,not inherited,True,True,CNN
Lee Shau Kee,35,2014,1976,Henderson Land Development,founder/chairman,real estate,new,86,male,Hong Kong,HKG,0.0,East Asia,self-made finance,19.6,Financial,True,Diversified financial,not inherited,True,True,Henderson Land Development
Mohamed Salim Bin Mahfouz,36,1996,1953,National Comercial bank of Saudi Arabia,relation,banking,new,0,male,Saudi Arabia,SAU,158000000000.0,Middle East/North Africa,inherited,5.0,Financial,True,Money Management,father,True,True,National Comercial bank of Saudi Arabia
Steve Ballmer,36,2014,1975,Microsoft,CEO,technology,new,57,male,United States,USA,0.0,North America,executive,19.3,New Sectors,True,Technology-Computer,not inherited,True,True,Microsoft
"Theo Albrecht, Jr.",36,2014,1913,Aldi Nord,Relation,groceries,new,63,male,Germany,DEU,0.0,Europe,inherited,19.3,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,Aldi Nord
Lee Kun-Hee,37,1996,1938,Samsung,relation,electronics,new,0,male,South Korea,KOR,603000000000.0,East Asia,inherited,4.9,New Sectors,True,Technology-Computer,father,True,True,Samsung
Yasuo Takei,37,2001,0,Takefuji,founder,finance,new,71,male,Japan,JPN,4160000000000.0,East Asia,self-made finance,8.3,Financial,True,Money Management,not inherited,True,True,Takefuji
John Walton,38,1996,1962,Walmart,relation, retail, new,50,male,United States,USA,8100000000000.0,North America,inherited,4.8,Traded Sectors,True,Consumer,father,True,True,Walmart
Suliman Olayan,38,2001,1947,General Contracting Company,founder,oil infrastructure,new,0,male,Saudi Arabia,SAU,183000000000.0,Middle East/North Africa,self-made finance,8.0,Financial,True,Diversified financial,not inherited,True,True,General Contracting Company
Leonardo Del Vecchio,38,2014,1961,?Luxottica,founder,glasses,new,78,male,Italy,ITA,0.0,Europe,founder non-finance,19.2,Traded Sectors,True,Consumer,not inherited,True,True,Luxottica
Jim Walton,39,1996,1962,Walmart,relation,retail, new,48,male,United States,USA,8100000000000.0,North America,inherited,4.8,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,Walmart
Rupert Murdoch,39,2001,1923,News Limited,relation,media,new,70,male,United States,USA,10600000000000.0,North America,inherited,7.8,Non-Traded Sectors,True,Media,father,True,True,News Limited
Len Blavatnik,39,2014,1990,Renova Group,founder,"aluminum, oil",new,56,male,United States,USA,0.0,North America,self-made finance,18.7,Financial,True,Diversified financial,not inherited,True,True,Renova Group
Helen Walton,40,1996,1962,Walmart,relation,retail, new,76,female,United States,USA,8100000000000.0,North America,inherited,4.7,Traded Sectors,True,Consumer,spouse/widow,True,True,Walmart
Hans Rausing,40,2001,1951,Tetra Pak,relation,food packaging,new,74,male,Sweden,SWE,240000000000.0,Europe,inherited,7.7,Traded Sectors,True,Consumer,father,True,True,Tetra Pak
Nobutada Saji,40,2001,1899,Suntory,relation,brewery,new,55,male,Japan,JPN,4160000000000.0,East Asia,inherited,7.7,Traded Sectors,True,Consumer,3rd generation,True,True,Suntory
Alisher Usmanov,40,2014,1999,Metalloinvest,founder,metals,new,60,male,Russia,RUS,0.0,Europe,privatized and resources,18.6,Resource Related,True,Non-consumer industrial,not inherited,True,True,Metalloinvest
Mukesh Ambani,40,2014,1980,Reliance,relation,textiles,new,56,male,India,IND,0.0,South Asia,inherited,18.6,Resource Related,True,Energy,not inherited,True,True,Reliance
Alice Walton,41,1996,1962,Walmart,relation,retail, new,47,female,United States,USA,8100000000000.0,North America,inherited,4.7,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,Walmart
S Robson Walton,42,1996,1962,Walmart,relation,retail, new,52,male,United States,USA,8100000000000.0,North America,inherited,4.7,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,Walmart
Azim Premji,42,2001,1945,Wipro Limited,relation,software,new,55,male,India,IND,494000000000.0,South Asia,inherited,6.9,New Sectors,True,Technology-Computer,father,True,True,Wipro Limited
Masayoshi Son,42,2014,1981,Softbank,founder/CEO,technology,new,56,male,Japan,JPN,0.0,East Asia,founder non-finance,18.4,New Sectors,True,Technology-Computer,not inherited,True,True,Softbank
Michael Otto,42,2014,1949,Otto Group,relation,mail order retail,new,70,male,Germany,DEU,0.0,Europe,inherited,18.4,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,Otto Group
Phil Knight,42,2014,1964,Nike,founder,apparel,new,76,male,United States,USA,0.0,North America,founder non-finance,18.4,Traded Sectors,True,Consumer,not inherited,True,True,Nike
Henkel family,43,1996,1876,Henkel AG,founder,chemicals,new,0,male,Germany,DEU,2500000000000.0,Europe,inherited,4.6,Traded Sectors,True,Non-consumer industrial,not inherited,True,True,Henkel AG
Amancio Ortega,43,2001,1975,Zara,founder,Fashion,new,65,male,Spain,ESP,626000000000.0,Europe,founder non-finance,6.6,Traded Sectors,True,Consumer,not inherited,True,True,Zara
Leonardo Del Vecchio,43,2001,1961,?Luxottica,founder,glasses,new,65,male,Italy,ITA,1160000000000.0,Europe,founder non-finance,6.6,Traded Sectors,True,Consumer,not inherited,True,True,Luxottica
Masayoshi Son,44,1996,1981,Softbank,founder/CEO,technology,new,38,male,Japan,JPN,4710000000000.0,East Asia,founder non-finance,4.6,Non-Traded Sectors,True,Media,not inherited,True,True,Softbank
Friedrich Flick,45,1996,1919,Friedrich Flick Industrial Holding,relation,coal,new,69,male,Germany,DEU,2500000000000.0,Europe,inherited,4.5,Financial,True,Money Management,father,True,True,Friedrich Flick Industrial Holding
Gerald Cavendish Grosvenor,45,2001,1677,Grosvenor Group,relation,real estate,new,49,male,United Kingdom,GBR,1530000000000.0,Europe,inherited,6.5,Financial,True,Real Estate,5th generation or longer,True,True,Grosvenor Group
Tadashi Yanai,45,2014,1963,Fast Retailing/Uniqlo,founder,apparel,new,65,male,Japan,JPN,0.0,East Asia,founder non-finance,17.9,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,Fast Retailing/Uniqlo
Liem Sioe Liong,46,1996,1952,Salim Group,founder,consumer goods,new,0,male,Indonesia,IDN,227000000000.0,East Asia,self-made finance,4.5,Financial,True,Diversified financial,not inherited,True,True,Salim Group
Kirk Kerkorian,46,2001,1924,MGM Grand,investor,real estate,aquired,83,male,United States,USA,10600000000000.0,North America,self-made finance,6.4,Financial,True,Real Estate,not inherited,True,True,MGM Grand
Gina Rinehart,46,2014,1955,Hancock Prospecting,relation,mining,new,60,female,Australia,AUS,0.0,North America,inherited,17.7,Resource Related,True,Mining and metals,father,True,True,Hancock Prospecting
Pierre Landolt,47,1996,2001,AxialPar,founder,venture capitalist,new,0,male,Switzerland,CHE,330000000000.0,Europe,founder non-finance,4.5,New Sectors,True,Technology-Medical,not inherited,True,True,AxialPar
Charles Schwab,47,2001,1971,Charles Schwab Corporation,founder,brokerage/banking,new,63,male,United States,USA,10600000000000.0,North America,self-made finance,6.3,Financial,True,Money Management,not inherited,True,True,Charles Schwab Corporation
